filename,newfilename,name,alias
CA.png,CCA.png,Air China,
CC.png,OMT.png,CM Airlines,
CD.png,CND.png,Corendon Dutch Airlines,Seaview Air
CE.png,CLG.png,Chalair Aviation,Chalair
CF.png,CYZ.png,China Postal Airlines,
CG.png,TOK.png,PNG Air,
CH.png,BMJ.png,Bemidji Airlines,
CI.png,CAL.png,China Airlines,
CJ.png,CFE.png,BA CityFlyer,China North
CK.png,NDR.png,China Cargo Airlines,Andesmar Lin
CL.png,CLH.png,Lufthansa CityLine,
CM.png,CMP.png,Copa Airlines,Compañía Panameña de Aviación
CN.png,GDC.png,Grand China Air,
CO.png,FCB.png,Cobalt Air,
CP.png,CPZ.png,Compass Airlines,
CQ.png,,Coastal Travels,
CR.png,,OAG Worldwide,
CS.png,CXB.png,Comlux Aruba,
CT.png,CYL.png,Alitalia CityLiner,Air One CityLiner
CU.png,CUB.png,Cubana De Aviacion,Cubana
CV.png,CLX.png,Cargolux,
CX.png,CPA.png,Cathay Pacific,
CY.png,CYP.png,Charlie Airlines,
CZ.png,CSN.png,China Southern Airlines,
D0.png,DHK.png,DHL Air UK,
D2.png,SSF.png,Severstal Air Company,
D3.png,DAO.png,Daallo Airlines,Daallo Airlin
D4.png,LID.png,DART Ltd,
D6.png,INL.png,Interair,
D7.png,XAX.png,AirAsia X,
D8.png,IBK.png,Norwegian Air International,
D9.png,DNV.png,Donavia,
DA.png,GEO.png,Air Georgia,Air Georgia
DB.png,BZH.png,HOP Brit Air,
DC.png,BRX.png,Braathens Regional,
DD.png,,Nok Air,
DE.png,CFG.png,Condor,
DF.png,CIB.png,Condor Berlin,
DG.png,SRQ.png,Cebgo,
DH.png,DTS.png,Douniah Airlines,
DI.png,NRS.png,Norwegian Air UK,
DJ.png,WAJ.png,AirAsia Japan,
DK.png,VKG.png,Thomas Cook Airlines,Eastland Air
DL.png,DAL.png,Delta Air Lines,
DM.png,DEX.png,Asian Air,Sterling Blue
DN.png,NAA.png,Norwegian Air Argentina,
DO.png,,Discovery Airways,Air Vallee
DP.png,,Pobeda,
DQ.png,DCP.png,Delta Connection,Coastal Air
DR.png,,Ruili Airlines,Air Link
DS.png,EZS.png,easyJet Switzerland,
DT.png,DTA.png,Taag,
DU.png,NLH.png,Norwegian Long Haul,
DV.png,VSV.png,SCAT Airlines,
DW.png,GDE.png,Great Dane Airlines,
DX.png,DTR.png,Danish Air Transport,
DY.png,NAX.png,Norwegian Air Shuttle (NAS),
DZ.png,,Donghai Airlines,
E2.png,EWE.png,Eurowings Europe,
E3.png,VGO.png,New Gen Airways,Sabaidee Airways
E4.png,ENT.png,Enter Air,
E5.png,RBG.png,Air Arabia Egypt,
E6.png,,Bringer Air Cargo,
E7.png,,Equaflight Service,Fly European
E8.png,GTA.png,City Airways,
E9.png,EVE.png,Evelop Airlines,
EB.png,PLM.png,Wamos Air,Pullmantur Air
EC.png,BOS.png,OpenSkies,
ED.png,AXE.png,Air Explore,Airblue
EE.png,EST.png,Nordica,
EF.png,,Fly CamInter,
EG.png,ETJ.png,East Air,Japan Asia
EH.png,AKX.png,ANA Wings,
EI.png,EIN.png,Aer Lingus,
EJ.png,NEA.png,New England Airlines,New Englan
EK.png,UAE.png,Emirates,
EL.png,ELB.png,Ellinair,
EM.png,,Aero Benin,
EN.png,DLA.png,Air Dolomiti,Air Dolomiti
EO.png,AGY.png,Air Go Egypt,
EP.png,IRC.png,Iran Aseman Airlines,
EQ.png,TAE.png,TAME,TAME EP Línea Aérea del Ecuador
ER.png,SEP.png,SereneAir,
ES.png,DHX.png,DHL International Aviation ME,
ET.png,ETH.png,Ethiopian Airlines,
EU.png,,Chengdu Airlines,Ecuatoriana
EV.png,ASQ.png,ExpressJet Airlines,
EW.png,EWG.png,Eurowings,
EY.png,ETD.png,Etihad Airways,
EZ.png,SUS.png,Sun Air of Scandinavia,
F1.png,,Farelogix,
F2.png,XLK.png,Safarilink Aviation,
F3.png,FAD.png,Flyadeal,
F4.png,WAF.png,Air Flamenco,Air Flamenco
F7.png,DWT.png,Etihad Regional,Darwin Airline
F8.png,FLE.png,Flair Airlines,
F9.png,FTT.png,Frontier Airlines,
FA.png,SFR.png,Safair,
FB.png,LZB.png,Bulgaria Air,Balkan Air To
FC.png,,Fly Corporate,
FD.png,AIQ.png,Thai AirAsia,
FE.png,FEA.png,Far Eastern Air Transport,
FG.png,AFG.png,Ariana Afghan Airlines,Ariana
FH.png,FHY.png,Freebird Airlines,Futura Intl
FI.png,ICE.png,Icelandair,
FJ.png,FJI.png,Fiji Airways,Fiji Airways
FK.png,KFA.png,Kelowna Flightcraft Air Charter,
FL.png,TRS.png,Airtran Airways,
FM.png,CSH.png,Shanghai Airlines,
FN.png,FTZ.png,Fastjet,
FO.png,FXX.png,Felix Airways,
FP.png,,Pelican Airlines,
FR.png,RYR.png,Ryanair,
FT.png,FEG.png,FlyEgypt,
FU.png,FZA.png,Fuzhou Airlines,
FV.png,SDM.png,Rossiya,
FW.png,IBX.png,Ibex Airlines,
FX.png,FXA.png,Fedex,Express Air
FY.png,FFM.png,Flyfirefly,
FZ.png,FDB.png,flydubai,Dubai Aviation Corporation
G2.png,,Galeyr Airline,
G3.png,GLO.png,Gol Transportes Aéreos,
G4.png,AAY.png,Allegiant Air,
G5.png,HXA.png,China Express Airlines,
G6.png,DNM.png,Denim Air,
G7.png,GJS.png,GoJet Airlines,
G8.png,GOW.png,GoAir,
G9.png,ABY.png,Air Arabia,
GA.png,GIA.png,Garuda Indonesia,
GB.png,ABX.png,ABX Air,
GC.png,,Global Feeder Services,
GE.png,TNA.png,TransAsia Airways,
GF.png,GFA.png,Gulf Air,
GG.png,KYE.png,Sky Lease Cargo,
GH.png,GHA.png,Globus,Ghana Air
GI.png,IKA.png,Itek Air,
GJ.png,CDC.png,Zhejiang Loong Airlines,Eurofly
GK.png,,Jetstar Japan,
GL.png,GRL.png,Air Greenland,
GM.png,GSW.png,Germania Flug,
GO.png,GOE.png,Go,
GP.png,RIV.png,APG Airlines,
GQ.png,SEH.png,Sky Express,
GR.png,AUR.png,Aurigny Air Services,
GS.png,GCR.png,Tianjin Airlines,
GT.png,CGH.png,Air Guilin,
GU.png,GUG.png,Aviateca,
GV.png,SWV.png,Grant Aviation,
GW.png,SKG.png,SkyGreece Airlines,
GX.png,,Guangxi Beibu Gulf Airlines,
GY.png,,Colorful Guizhou Airlines,
GZ.png,,Air Rarotonga,
H1.png,,Hahn Air Systems,
H2.png,SKU.png,Sky Airline,
H3.png,HES.png,Harbour Air,
H4.png,AEH.png,Aero4M,
H6.png,BUC.png,Bulgarian Air Charter,
H7.png,EGU.png,Eagle Air,
H8.png,,Chilejet,
H9.png,HIM.png,Himalaya Airlines,
HA.png,HAL.png,Hawaiian Airlines,
HB.png,AAQ.png,Asia Atlantic Airlines,
HC.png,SZN.png,Air Senegal,
HD.png,ADO.png,Air Do,Hokkaido International Airlines
HE.png,,LGW Luftfahrtges Walter,
HF.png,,Air Cote D Ivoire,Aircoteivoire
HH.png,TBM.png,Taban Airlines,
HI.png,,Papillon Airways,Papillonair
HJ.png,HEJ.png,Hellas Jet,Hellenic Star
HK.png,,Skippers Aviation,
HM.png,SEY.png,Air Seychelles,
HN.png,,Afghan Jet International,
HO.png,DKH.png,Juneyao Airlines,
HP.png,APF.png,Amapola Flyg,
HQ.png,TCW.png,Thomas Cook Airlines Belgium,Harmony Air
HR.png,HHN.png,Hahn Air,
HS.png,HLI.png,Heli Sécurité,
HU.png,CHH.png,Hainan Airlines,
HV.png,TRA.png,Transavia Airlines,
HW.png,,North Wright Air,North Wright
HX.png,CRK.png,Hong Kong Airlines,
HY.png,UZB.png,Uzbekistan Airways,
HZ.png,SHU.png,Aurora Airlines,SAT Airlines
I1.png,,CTS Viaggi,
I2.png,IBS.png,Iberia Express,
I3.png,TBZ.png,ATA Airlines,
I4.png,,Scott Air,
I5.png,,AirAsia India,
I6.png,MPK.png,Air Indus,
I7.png,IIA.png,Int'Air Îles,Int'Air Iles
I8.png,IZA.png,Izhavia,Aboriginalair
IA.png,IAW.png,Iraqi Airways,
IB.png,IBE.png,Iberia,
IC.png,,Nacil Indian Airline,
ID.png,BTK.png,Batik Air,
IE.png,SOL.png,Solomon Airlines,Solomon Air
IF.png,FBA.png,FlyBaghdad,
IG.png,ISS.png,Air Italy,
IH.png,MZA.png,Jsc Irtysh Air,Falcon Air
II.png,CSQ.png,IBC Airways,
IJ.png,,Spring Airlines Japan,
IK.png,AKL.png,Air Kiribati,
IL.png,,Trigana Air Service,Istanbul Air
IM.png,,Mint Líneas Aéreas,Intensive Air
IN.png,NIH.png,NAM Air,
IO.png,IAE.png,IrAero,
